 Cause, Effect,Label,Topic_Cause,Topic_Effect,5w1h_effect,5w1h_cause
decrease in price of commodity [91],reduced tourism [272],non_causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Reduced tourism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in price of a commodity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
lower unemployment rates [180],increased cost of transportation (oil) [219],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increased cost of transportation due to oil prices', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Lower unemployment rates', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
reduced tourism [272],growing tax revenue [324],non_causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Growing tax revenue', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Reduced tourism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
restrictions to clients to expand their businesses infrastructure [252],increases exposure to potential security threats [170],non_causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Increases exposure to potential security threats', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Restrictions are being placed on clients to allow them to expand their business infrastructure.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
unfavorable uses of data by providers and businesses [213],increase in corruption [136],non_causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Data providers and businesses', 'What': 'Unfavorable uses of data', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increased cost of transportation (oil) [219],weakening economic environment [309],non_causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Weakening economic environment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased cost of transportation due to oil prices', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
rapid technological change [292],increased capital controls [193],non_causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased capital controls', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Rapid technological change', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
unfavorable official(political figurehead) or party elected [134],increase in personal identify theft attacks [212],non_causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Individuals', 'What': 'Increase in personal identity theft attacks', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Political figureheads and parties', 'What': 'Being perceived as unfavorable by voters', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increased business investment and opportunity [179],rising unemployment rates [173],non_causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Rising unemployment rates', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased business investment and opportunity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
fair allocation of government budget [68],increase in price of commodity [214],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increase in price of a commodity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Discussion on fair allocation of government budget', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decreased business productivity [270],business or supplier disruption [306],non_causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Business or supplier disruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decreased business productivity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increased interest rate [329],increased local protectionism [239],non_causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Increased local protectionism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased interest rate', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
able to analyze market and consumers better [83],conservative politician elected [104],non_causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'A conservative politician', 'What': 'Was elected', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Analyze market and consumers better', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in tourism [371],increased irregular geological data [315],non_causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased irregular geological data', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in tourism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decreasing government and political stability [131],increasing size of IT market [301],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increasing size of the IT market', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decreasing government and political stability', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
lack of business investment and opportunities [172],untapped market for data providers to enter [80],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Data providers', 'What': 'Untapped market opportunity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Lack of business investment and opportunities', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
request positive balance of trade [368],dumping by foreign firms at prices below cost [257],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Foreign firms', 'What': 'Dumping goods at prices below cost', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Request for a positive balance of trade', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increasing number of multinational players [300],lack of respect for authority [196],non_causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Lack of respect for authority', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Multinational players', 'What': 'Increasing presence in a market or industry', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increased dependency on devices (e.g. IoT) [18],decreasing debt levels [107],non_causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Decreasing debt levels', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased dependency on devices like IoT', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increases exposure to potential security threats [170],reduction in business investment [138],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Businesses', 'What': 'Reduction in business investment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increases exposure to potential security threats', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
protecting infant industries [245],disruptive technologies [152],non_causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Disruptive technologies are discussed.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Protecting infant industries', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
excessive use of government forces for domestic control [326],conservative politician elected [104],non_causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'A conservative politician', 'What': 'Was elected', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Government forces', 'What': 'Excessive use for domestic control', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in unemployment [403],easy to repatriate cash [62],non_causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Repatriating cash is easy', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in unemployment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increased cyber attacks [210],weakening economic environment [309],non_causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Weakening economic environment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased cyber attacks', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
clients and potential clients need help to comply with privacy [201],strict environmental regulation [250],non_causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Strict environmental regulation', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Clients and potential clients', 'What': 'Need help to comply with privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
potential innovation for substitute or less expensive product [222],increased business investment and opportunity [179],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increased business investment and opportunity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Potential innovation for a substitute or less expensive product', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decreased investment by businesses [178],decrease in corruption [59],non_causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Businesses', 'What': 'Decreased investment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
business or supplier disruption [306],increased demand for commodity [215],non_causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increased demand for a commodity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Business or supplier disruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
decreased investor and consumer confidence [198],increased irregular tide and current and wave data (patterns) [318],non_causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased irregular tide, current, and wave data patterns', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Investors and consumers', 'What': 'Decreased confidence', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increase in tourism [371],regulators agreement to reduce the production quota [216],non_causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Regulators', 'What': 'Agreement to reduce production quota', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in tourism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increasing number of IT players [299],reduced demand for commodity [92],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Reduced demand for a commodity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'IT players', 'What': 'Increasing in number', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
